Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5963,Tom and Jerry Tales,DS,2006,Platform,Warner Bros. Interactive Entertainment,210000.0,60000.0,0.0,20000.0,290000.0
5977,Outlaw Golf,XB,2002,Sports,TDK Mediactive,220000.0,60000.0,0.0,10000.0,290000.0
5988,NBA Street V3,GC,2005,Sports,Electronic Arts,230000.0,60000.0,0.0,10000.0,290000.0
6011,Area 51,XB,2005,Shooter,Midway Games,220000.0,60000.0,0.0,10000.0,290000.0
6012,The Smurfs: Dance Party,Wii,2011,Misc,Ubisoft,220000.0,40000.0,0.0,20000.0,290000.0
6025,Viz,N64,1998,Racing,Acclaim Entertainment,230000.0,60000.0,0.0,0.0,290000.0
6026,Top Gear Overdrive,N64,1998,Racing,Kemco,230000.0,60000.0,0.0,0.0,290000.0
6027,Xena: Warrior Princess - The Talisman of Fate,N64,1999,Fighting,Titus,230000.0,60000.0,0.0,0.0,290000.0
6028,Jeremy McGrath Supercross 2000,N64,1999,Racing,Acclaim Entertainment,230000.0,60000.0,0.0,0.0,290000.0
6030,Ken Griffey Jr.'s Slugfest,N64,1999,Sports,Nintendo,230000.0,60000.0,0.0,0.0,290000.0
6031,Supercross 2000,N64,1999,Racing,Electronic Arts,230000.0,60000.0,0.0,0.0,290000.0
6032,War Gods,N64,1997,Fighting,Midway Games,230000.0,60000.0,0.0,0.0,290000.0
6038,Turning Point: Fall of Liberty,X360,2008,Shooter,Codemasters,230000.0,40000.0,0.0,20000.0,290000.0
6041,The Lord of the Rings: The Third Age,GC,2004,Role-Playing,Electronic Arts,220000.0,60000.0,0.0,10000.0,290000.0
6047,Madden NFL 08,XB,2007,Sports,Electronic Arts,220000.0,60000.0,0.0,10000.0,290000.0
6049,Pirates of the Caribbean,XB,2003,Role-Playing,Ubisoft,220000.0,60000.0,0.0,10000.0,290000.0
6052,The Punisher,XB,2005,Action,THQ,220000.0,60000.0,0.0,10000.0,290000.0
6094,Spyro: A Hero's Tail,GC,2004,Platform,Vivendi Games,220000.0,60000.0,0.0,10000.0,290000.0
6097,Links 2004,XB,2003,Sports,Microsoft Game Studios,210000.0,60000.0,0.0,10000.0,290000.0
6122,The Warriors,XB,2005,Action,Take-Two Interactive,210000.0,60000.0,0.0,10000.0,280000.0
6128,Street Hoops,XB,2002,Sports,Activision,210000.0,60000.0,0.0,10000.0,280000.0
6134,ATV Quad Power Racing 2,GC,2003,Racing,Acclaim Entertainment,220000.0,60000.0,0.0,10000.0,280000.0
6140,Marvel Nemesis: Rise of the Imperfects,XB,2005,Fighting,Electronic Arts,210000.0,60000.0,0.0,10000.0,280000.0
6156,Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,210000.0,60000.0,0.0,10000.0,280000.0
6160,Godzilla: Domination!,GBA,2002,Fighting,Atari,200000.0,70000.0,0.0,10000.0,280000.0
6169,Rocket Power: Beach Bandits,GBA,2002,Platform,THQ,200000.0,70000.0,0.0,10000.0,280000.0
6176,Conflict: Desert Storm II - Back to Bagdhad,XB,2003,Shooter,SCi,210000.0,60000.0,0.0,10000.0,280000.0
6181,Pitfall: The Mayan Adventure,GBA,2001,Platform,Interplay,200000.0,70000.0,0.0,10000.0,280000.0
6189,Disney's Treasure Planet,GBA,2002,Action,Ubisoft,200000.0,70000.0,0.0,10000.0,280000.0
6195,NCAA March Madness 2005,XB,2004,Sports,Electronic Arts,210000.0,60000.0,0.0,10000.0,280000.0
6199,Corvette,GBA,2003,Racing,TDK Mediactive,200000.0,70000.0,0.0,10000.0,280000.0
6202,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004,Action,THQ,220000.0,60000.0,0.0,10000.0,280000.0
6203,Silent Hill 2: Restless Dreams,XB,2001,Action,Konami Digital Entertainment,210000.0,60000.0,0.0,10000.0,280000.0
6225,Madagascar,XB,2005,Platform,Activision,210000.0,60000.0,0.0,10000.0,280000.0
6238,Dave Mirra Freestyle BMX 2,GC,2001,Sports,Acclaim Entertainment,210000.0,60000.0,0.0,10000.0,280000.0
6244,True Crime: New York City,XB,2005,Action,Activision,210000.0,60000.0,0.0,10000.0,280000.0
6248,Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010,Action,THQ,220000.0,40000.0,0.0,20000.0,280000.0
6252,Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,200000.0,70000.0,0.0,0.0,280000.0
6270,Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,210000.0,60000.0,0.0,10000.0,270000.0
6273,Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,210000.0,60000.0,0.0,10000.0,270000.0
6275,Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,200000.0,70000.0,0.0,0.0,270000.0
6278,M&M's Blast!,GBA,2001,Puzzle,Unknown,200000.0,70000.0,0.0,0.0,270000.0
6283,NHL Hitz 20-02,XB,2001,Sports,Midway Games,200000.0,60000.0,0.0,10000.0,270000.0
6307,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Nintendo,210000.0,50000.0,0.0,10000.0,270000.0
6313,NickToons: Racing,GBA,2002,Racing,Infogrames,190000.0,70000.0,0.0,0.0,270000.0
6326,Over the Hedge,GBA,2006,Platform,Activision,190000.0,70000.0,0.0,0.0,270000.0
6328,Disney's Chicken Little,GC,2005,Platform,Disney Interactive Studios,210000.0,50000.0,0.0,10000.0,270000.0
6330,Ty the Tasmanian Tiger,GC,2002,Platform,Electronic Arts,210000.0,50000.0,0.0,10000.0,270000.0
6333,WWE Road to WrestleMania X8,GBA,2002,Fighting,THQ,190000.0,70000.0,0.0,0.0,270000.0
6337,NASCAR 06: Total Team Control,XB,2005,Racing,Electronic Arts,200000.0,60000.0,0.0,10000.0,270000.0
6341,NHL 2002,XB,2001,Sports,Electronic Arts,200000.0,60000.0,0.0,10000.0,270000.0
6348,Command & Conquer,N64,1999,Strategy,Nintendo,220000.0,50000.0,0.0,0.0,270000.0
6357,Fantastic 4,XB,2005,Action,Activision,200000.0,60000.0,0.0,10000.0,270000.0
6358,Mat Hoffman's Pro BMX,GBA,2001,Sports,Activision,190000.0,70000.0,0.0,0.0,270000.0
6361,Summer Athletics: The Ultimate Challenge (US sales),Wii,2008,Sports,DTP Entertainment,230000.0,40000.0,0.0,0.0,270000.0
6374,NBA Live 2004,GC,2003,Sports,Electronic Arts,210000.0,50000.0,0.0,10000.0,270000.0
6376,NASCAR Thunder 2003,XB,2002,Racing,Electronic Arts,200000.0,60000.0,0.0,10000.0,270000.0
6383,Connect Four / Perfection / Trouble,GBA,2005,Misc,Zoo Digital Publishing,190000.0,70000.0,0.0,0.0,270000.0
6385,Ratatouille,X360,2007,Action,THQ,230000.0,20000.0,0.0,20000.0,270000.0
6386,The Incredible Hulk,X360,2008,Action,Sega,220000.0,30000.0,0.0,20000.0,270000.0
6393,The Sims 2: Pets,GC,2006,Simulation,Electronic Arts,210000.0,50000.0,0.0,10000.0,270000.0
6402,Deadly Premonition,X360,2010,Action,Rising Star Games,180000.0,60000.0,0.0,20000.0,270000.0
6406,Knockout Kings 2002,XB,2002,Sports,Electronic Arts,200000.0,60000.0,0.0,10000.0,270000.0
6410,Megamind: The Blue Defender,DS,2010,Adventure,THQ,190000.0,50000.0,0.0,20000.0,270000.0
6421,Superman Returns,X360,2006,Action,Electronic Arts,230000.0,20000.0,0.0,20000.0,270000.0
6427,Operation Armored Liberty,GBA,2003,Action,Majesco Entertainment,190000.0,70000.0,0.0,0.0,270000.0
6437,Angry Birds Trilogy,X360,2012,Action,Activision,180000.0,60000.0,0.0,20000.0,270000.0
6440,ESPN NBA Basketball,XB,2003,Sports,Sega,200000.0,60000.0,0.0,10000.0,270000.0
6446,Dungeons & Dragons: Eye of the Beholder,GBA,2002,Role-Playing,Atari,190000.0,70000.0,0.0,0.0,260000.0
6448,"Barbie: Jet, Set & Style!",Wii,2011,Misc,THQ,230000.0,10000.0,0.0,20000.0,260000.0
6449,Battlestations: Midway,X360,2007,Strategy,Eidos Interactive,210000.0,20000.0,0.0,20000.0,260000.0
6450,Rayman DS,DS,2005,Platform,Ubisoft,210000.0,40000.0,0.0,20000.0,260000.0
6453,Create,Wii,2010,Action,Electronic Arts,220000.0,30000.0,0.0,20000.0,260000.0
6455,Littlest Pet Shop: Friends,Wii,2009,Simulation,Electronic Arts,220000.0,20000.0,0.0,20000.0,260000.0
6474,Rugrats: I Gotta Go Party,GBA,2002,Action,THQ,190000.0,70000.0,0.0,0.0,260000.0
6484,Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,220000.0,30000.0,0.0,20000.0,260000.0
6488,The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,2002,Action,THQ,190000.0,70000.0,0.0,0.0,260000.0
6492,Hey Arnold! The Movie,GBA,2002,Platform,THQ,190000.0,70000.0,0.0,0.0,260000.0
6494,Need for Speed: Most Wanted,GBA,2005,Racing,Electronic Arts,190000.0,70000.0,0.0,0.0,260000.0
6500,Star Wars: Bounty Hunter,GC,2002,Shooter,LucasArts,200000.0,50000.0,0.0,10000.0,260000.0
6517,Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,170000.0,70000.0,0.0,20000.0,260000.0
6524,Nightmare Creatures,N64,1996,Action,Activision,210000.0,50000.0,0.0,0.0,260000.0
6525,Star Wars Episode I: Battle for Naboo,N64,2000,Simulation,LucasArts,210000.0,50000.0,0.0,0.0,260000.0
6526,Duke Nukem: Zero Hour,N64,1999,Shooter,GT Interactive,210000.0,50000.0,0.0,0.0,260000.0
6527,Armorines: Project S.W.A.R.M.,N64,1999,Shooter,Acclaim Entertainment,210000.0,50000.0,0.0,0.0,260000.0
6531,Dora the Explorer: The Search for Pirate Pig's Treasure,GBA,2002,Adventure,NewKidCo,190000.0,70000.0,0.0,0.0,260000.0
6535,Tony Hawk: Shred,X360,2010,Sports,Activision,170000.0,70000.0,0.0,20000.0,260000.0
6536,Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,190000.0,60000.0,0.0,10000.0,260000.0
6537,Batman: Vengeance,GC,2001,Adventure,Ubisoft,200000.0,50000.0,0.0,10000.0,260000.0
6544,Dungeons & Dragons Heroes,XB,2003,Role-Playing,Atari,190000.0,60000.0,0.0,10000.0,260000.0
6550,Crash Nitro Kart,GC,2003,Racing,Vivendi Games,200000.0,50000.0,0.0,10000.0,260000.0
6558,Peter Jackson's King Kong: The Official Game of the Movie,X360,2005,Action,Ubisoft,200000.0,30000.0,0.0,20000.0,260000.0
6561,Frogger's Journey: The Forgotten Relic,GBA,2003,Action,Konami Digital Entertainment,180000.0,70000.0,0.0,0.0,260000.0
6563,Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts,160000.0,70000.0,0.0,20000.0,260000.0
6565,Oddworld: Stranger's Wrath,XB,2005,Adventure,Electronic Arts,190000.0,60000.0,0.0,10000.0,260000.0
6571,Daisy Fuentes Pilates,Wii,2009,Sports,505 Games,170000.0,60000.0,0.0,20000.0,260000.0
6575,Petz: Crazy Monkeyz,Wii,2008,Simulation,Ubisoft,230000.0,0.0,0.0,20000.0,260000.0
6576,"SpongeBob SquarePants: Lights, Camera, Pants!",XB,2005,Misc,THQ,190000.0,60000.0,0.0,10000.0,260000.0
6580,Lemony Snicket's A Series of Unfortunate Events,GC,2004,Platform,Activision,200000.0,50000.0,0.0,10000.0,260000.0
6581,Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,Disney Interactive Studios,230000.0,10000.0,0.0,20000.0,260000.0
6582,Bionicle: Matoran Adventures,GBA,2002,Platform,Electronic Arts,180000.0,70000.0,0.0,0.0,260000.0
6586,NASCAR 09,PS3,2008,Racing,Electronic Arts,220000.0,10000.0,0.0,20000.0,260000.0
6589,ATV: Quad Power Racing,GBA,2002,Racing,Liquid Games,180000.0,70000.0,0.0,0.0,260000.0
6592,Backyard NFL Football,GC,2002,Sports,Infogrames,200000.0,50000.0,0.0,10000.0,260000.0
6593,All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,190000.0,60000.0,0.0,10000.0,260000.0
